Description,Incident#,Location,Agency,Date
POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,1908240064020,NW 1ST AV / NW 13TH ST,Miami Police,8-24-2019 3:29 PM
PETIT THEFT - FROM MOTOR VEHICLE / $100 TO LESS THAN $300,1908240064024,N MIAMI AV / NE 23RD ST,Miami Police,8-24-2019 3:26 PM
CRIMINAL MISCHIEF ($200 OR LESS),1908240064029,900 BLOCK SW 6TH ST,Miami Police,8-24-2019 3:23 PM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1908240064025,6400 BLOCK SW 6TH ST,Miami Police,8-24-2019 3:09 PM
VEHICLE BREAK-IN/THEFT,PD190904317316,7400 BLOCK NW 23RD CT,Miami-Dade Police,8-24-2019 3:00 PM
"BATTERY / AGG / DOMESTIC: VICTIM PREGNANT (MINOR, NO WEAPON OR NO INJURY - NO LOSS OF FETUS)",1908240064018,NW MIAMI CT / NW 79TH ST,Miami Police,8-24-2019 2:33 PM
THEFT/LARCENY,PD190824303793,400 BLOCK NW 83RD ST,Miami-Dade Police,8-24-2019 2:29 PM
RETAIL THEFT,1908240064015,2000 BLOCK NW 7TH ST,Miami Police,8-24-2019 2:20 PM
ASSAULT,PD190824303739,NW 27TH AVE & NW 79TH ST,Miami-Dade Police,8-24-2019 1:50 PM
GRAND THEFT,1908240064005,3300 BLOCK BISCAYNE BLVD,Miami Police,8-24-2019 1:49 PM
CRIMINAL MISCHIEF / VANDALISM,1908240064003,300 BLOCK NW 11TH AVE,Miami Police,8-24-2019 1:31 PM
THEFT - OF MOTOR VEHICLE PARTS,1908240063998,0 BLOCK SW 6TH ST,Miami Police,8-24-2019 1:30 PM
THEFT - FROM MOTOR VEHICLE,1908240064014,6700 BLOCK N MIAMI AV,Miami Police,8-24-2019 1:16 PM
THEFT/LARCENY,PD190831312314,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,8-24-2019 1:00 PM
BATTERY / DOMESTIC,1908240063992,1300 BLOCK NW 25TH ST,Miami Police,8-24-2019 12:24 PM
BATTERY / AGG: USES DEADLY WEAPON,1908240063989,1300 BLOCK SW 1ST ST,Miami Police,8-24-2019 12:23 PM
VEHICLE BREAK-IN/THEFT,PD190828308858,3100 BLOCK NW 29TH ST,Miami-Dade Police,8-24-2019 12:18 PM
VEHICLE BREAK-IN/THEFT,PD190824303639,NW 32ND AVE & NW 62ND ST,Miami-Dade Police,8-24-2019 12:07 PM
RETAIL THEFT,1908240064021,900 BLOCK SW 8TH ST,Miami Police,8-24-2019 12:00 PM
THEFT - FROM MOTOR VEHICLE,1908240063996,100 BLOCK NE 49TH ST,Miami Police,8-24-2019 11:54 AM
RETAIL THEFT,1908240063991,200 BLOCK SE 3RD ST,Miami Police,8-24-2019 11:52 AM
THEFT - FROM MOTOR VEHICLE,1908240063987,600 BLOCK NE 60TH ST,Miami Police,8-24-2019 11:41 AM
RETAIL THEFT,1908240063974,5700 BLOCK NW 7TH ST,Miami Police,8-24-2019 11:01 AM
SEXUAL BATTERY - FORCIBLE RAPE,1908240063997,100 BLOCK SW 7TH ST,Miami Police,8-24-2019 10:41 AM
BATTERY / DOMESTIC,1908240063980,1400 BLOCK SW 3RD ST,Miami Police,8-24-2019 10:33 AM
THEFT/LARCENY,PD190829309873,7500 BLOCK NW 32ND AVE,Miami-Dade Police,8-24-2019 10:00 AM
AGGRAVATED BATTERY,1908240063967,0 BLOCK NE 79TH ST,Miami Police,8-24-2019 9:28 AM
OVERDUE RENTAL,1908240063953,2400 BLOCK NW 36TH ST,Miami Police,8-24-2019 9:25 AM
OVERDUE RENTAL,1908240063953,2400 BLOCK NW 36TH ST,Miami Police,8-24-2019 9:25 AM
THEFT - OF MOTOR VEHICLE PARTS,1908240063955,4300 BLOCK NW 3RD ST,Miami Police,8-24-2019 9:07 AM
CRIMINAL MISCHIEF / VANDALISM,1908240063950,600 BLOCK SW 6TH ST,Miami Police,8-24-2019 8:57 AM
AGGRAVATED BATTERY,1908240063949,5500 BLOCK NW 5TH ST,Miami Police,8-24-2019 8:52 AM
THEFT/LARCENY,PD190824303446,1300 BLOCK NW 79TH ST,Miami-Dade Police,8-24-2019 8:25 AM
BURGLARY - OTHER STRUCTURE,1908240063946,3400 BLOCK NE 1ST AV,Miami Police,8-24-2019 8:00 AM
VANDALISM,PD190824303419,2900 BLOCK NW 46TH ST,Miami-Dade Police,8-24-2019 7:43 AM
BATTERY (SIMPLE) / PERSON 65 YEARS OF AGE OR OLDER,1908240063944,400 BLOCK NW 47TH AVE,Miami Police,8-24-2019 7:01 AM
BATTERY / SIMPLE,1908240063940,900 BLOCK S MIAMI AVE,Miami Police,8-24-2019 6:28 AM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1908240063938,6200 BLOCK NW 2ND AV,Miami Police,8-24-2019 6:00 AM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1908240063938,6200 BLOCK NW 2ND AV,Miami Police,8-24-2019 6:00 AM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1908240063938,6200 BLOCK NW 2ND AV,Miami Police,8-24-2019 6:00 AM
ASSAULT,PD190824303362,6300 BLOCK NW 18TH AVE,Miami-Dade Police,8-24-2019 5:27 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908240063937,NW 22ND AV / NW 6TH ST,Miami Police,8-24-2019 5:03 AM
THEFT/LARCENY,PD190824303943,7300 BLOCK NW 23RD CT,Miami-Dade Police,8-24-2019 5:00 AM
ASSAULT,PD190824303353,5100 BLOCK NW 23RD AVE,Miami-Dade Police,8-24-2019 4:58 AM
BATTERY / SIMPLE,1908240063934,100 BLOCK NE 60TH ST,Miami Police,8-24-2019 4:19 AM
THEFT/LARCENY,PD190824303501,FISHER ISLAND,Miami-Dade Police,8-24-2019 4:00 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908240063932,NW 28TH ST / NW 1ST AVE,Miami Police,8-24-2019 3:08 AM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1908240063927,4500 BLOCK NW 7TH ST,Miami Police,8-24-2019 3:00 AM
AGGRAVATED BATTERY,1908240063919,NW 1ST CT / NW 13TH ST,Miami Police,8-24-2019 2:58 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908240063923,NW 26TH ST / NW 1ST AV,Miami Police,8-24-2019 2:57 AM
CRIMINAL MISCHIEF / VANDALISM,1908240063916,100 BLOCK NW 23RD ST,Miami Police,8-24-2019 2:49 AM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,1908240063917,NW 11TH AV / NW 39TH ST,Miami Police,8-24-2019 2:48 AM
LEWD/LASCIVIOUS BATTERY - ENGAGE IN SEXUAL ACTIVITY W/PERSON 12 OR OLDER BUT LESS THAN 16 YRS,1908240063908,0 BLOCK SW 30TH CT,Miami Police,8-24-2019 1:58 AM
LEWD/LASCIVIOUS BATTERY - ENGAGE IN SEXUAL ACTIVITY W/PERSON 12 OR OLDER BUT LESS THAN 16 YRS,1908240063908,0 BLOCK SW 30TH CT,Miami Police,8-24-2019 1:58 AM
DUI,PD190824303306,NE 9TH AVE & HIALEAH DR,Miami-Dade Police,8-24-2019 1:47 AM
ASSAULT,PD190824303431,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,8-24-2019 1:45 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908240063909,0 BLOCK NW 25TH ST,Miami Police,8-24-2019 1:39 AM
THEFT - PICK POCKET,1908240063901,100 BLOCK NW 23RD ST,Miami Police,8-24-2019 1:29 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908240063904,NW 40TH ST / NW 10TH AV,Miami Police,8-24-2019 1:00 AM
BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908240063899,2200 BLOCK NW 6TH ST,Miami Police,8-24-2019 12:34 AM
PETIT THEFT - RETAIL / LESS THAN $100,1908230063886,NE 4TH AV / NE 23RD ST,Miami Police,8-24-2019 12:25 AM
CRIMINAL MISCHIEF / VANDALISM,1908240063902,500 BLOCK SW 18TH AV,Miami Police,8-24-2019 12:14 AM
SIMPLE BATTERY,1908230063883,1700 BLOCK NW 1ST PL,Miami Police,8-23-2019 11:13 PM
SIMPLE BATTERY,1908230063882,1400 BLOCK NW 60TH ST,Miami Police,8-23-2019 11:06 PM
THEFT - FROM MOTOR VEHICLE,1908230063884,8300 BLOCK NE 2ND AV,Miami Police,8-23-2019 10:27 PM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1908230063871,6800 BLOCK NW 4TH CT,Miami Police,8-23-2019 10:07 PM
BATTERY / SIMPLE,1908230063864,W FLAGLER ST / NW 7TH AV,Miami Police,8-23-2019 9:28 PM
BATTERY / SIMPLE,1908230063858,1200 BLOCK SW 1ST ST,Miami Police,8-23-2019 9:05 PM
BURGLARY - RESIDENCE,1908230063862,500 BLOCK NW 56TH ST,Miami Police,8-23-2019 9:03 PM
MOTOR VEHICLE THEFT,PD190823303002,1600 BLOCK LENOX AVE,Miami-Dade Police,8-23-2019 9:00 PM
PETIT THEFT - RETAIL / LESS THAN $100,1908230063857,200 BLOCK NW 36TH ST,Miami Police,8-23-2019 8:57 PM
THEFT/LARCENY,PD190823303079,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-23-2019 8:43 PM
GRAND THEFT,1908230063867,2200 BLOCK NW 24TH AV,Miami Police,8-23-2019 8:25 PM
ARSON / ANY DWELLING OR ITS CONTENTS / OCCUPIED OR NOT,1908230063855,500 BLOCK NW 62ND ST,Miami Police,8-23-2019 8:17 PM
SIMPLE ASSAULT,1908230063848,8300 BLOCK NE 2ND AV,Miami Police,8-23-2019 7:38 PM
PETIT THEFT - RETAIL / LESS THAN $100,1908230063841,900 BLOCK SW 8TH ST,Miami Police,8-23-2019 7:22 PM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1908230063834,2100 BLOCK NW 18TH TER,Miami Police,8-23-2019 7:15 PM
THEFT - FROM MOTOR VEHICLE,1908230063832,SW 14TH AV / SW 8TH ST,Miami Police,8-23-2019 7:09 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908230063837,2100 BLOCK NW 36TH ST,Miami Police,8-23-2019 6:57 PM
VANDALISM,PD190823302852,5300 BLOCK NW 24TH CT,Miami-Dade Police,8-23-2019 6:44 PM
AGGRAVATED BATTERY,1908230063826,1500 BLOCK NW 57TH ST,Miami Police,8-23-2019 6:32 PM
BURGLARY,PD190823302830,3200 BLOCK NW 47TH ST,Miami-Dade Police,8-23-2019 6:21 PM
THEFT/LARCENY,PD190823302922,8100 BLOCK NW 12TH CT,Miami-Dade Police,8-23-2019 6:16 PM
VANDALISM,PD190824303402,2700 BLOCK NW 60TH ST,Miami-Dade Police,8-23-2019 6:00 PM
GRAND THEFT,1908230063814,0 BLOCK SW 30TH CT,Miami Police,8-23-2019 5:56 PM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1908230063814,0 BLOCK SW 30TH CT,Miami Police,8-23-2019 5:56 PM
ASSAULT,PD190823302929,3000 BLOCK NW 81ST TER,Miami-Dade Police,8-23-2019 5:05 PM
THEFT/LARCENY,PD190823302806,8200 BLOCK NW 2ND CT,Miami-Dade Police,8-23-2019 5:00 PM
THEFT - OF MOTOR VEHICLE PARTS,1908230063789,800 BLOCK NW 45TH AV,Miami Police,8-23-2019 4:53 PM
THEFT - OF MOTOR VEHICLE PARTS,1908230063799,2100 BLOCK NW 11TH ST,Miami Police,8-23-2019 4:48 PM
VEHICLE BREAK-IN/THEFT,PD190828308441,1000 BLOCK NW 79TH ST,Miami-Dade Police,8-23-2019 4:45 PM
ASSAULT,PD190823302725,8200 BLOCK NW 2ND CT,Miami-Dade Police,8-23-2019 4:45 PM
SIMPLE ASSAULT,1908230063807,1200 BLOCK NW 58TH TER,Miami Police,8-23-2019 4:43 PM
BURGLARY - RESIDENCE,1908230063825,400 BLOCK BRICKELL AV,Miami Police,8-23-2019 4:32 PM
AGGRAVATED ASSAULT,1908230063790,900 BLOCK BISCAYNE BLVD,Miami Police,8-23-2019 4:32 PM
THEFT - ALL OTHER,1908230063788,1000 BLOCK NW 55TH TER,Miami Police,8-23-2019 4:28 PM
ASSAULT,PD190823302711,100 BLOCK NW 1ST AVE,Miami-Dade Police,8-23-2019 4:22 PM
CRIMINAL MISCHIEF / VANDALISM,1908230063780,1400 BLOCK NW 17TH AV,Miami Police,8-23-2019 4:10 PM
ROBBERY BY SUDDEN SNATCH - NO FORCE,1908230063793,600 BLOCK NW 79TH ST,Miami Police,8-23-2019 4:08 PM
BURGLARY - RESIDENCE,1908230063784,100 BLOCK NW 42ND ST,Miami Police,8-23-2019 3:51 PM
BURGLARY - RESIDENCE,1908230063763,0 BLOCK NW 33RD ST,Miami Police,8-23-2019 3:40 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908230063761,2100 BLOCK NW 17TH AV,Miami Police,8-23-2019 3:38 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908230063770,NE 68TH ST / BISCAYNE BLVD,Miami Police,8-23-2019 3:12 PM
ASSAULT,PD190823302649,8000 BLOCK NW 13TH AVE,Miami-Dade Police,8-23-2019 2:54 PM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908230063783,6000 BLOCK NW 7TH AV,Miami Police,8-23-2019 2:52 PM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908230063783,6000 BLOCK NW 7TH AV,Miami Police,8-23-2019 2:52 PM
ASSAULT,PD190823302543,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-23-2019 2:46 PM
PETIT THEFT - FROM MOTOR VEHICLE / $100 TO LESS THAN $300,1908230063765,3500 BLOCK BISCAYNE BLVD,Miami Police,8-23-2019 2:44 PM
BURGLARY/CONVEYANCE: NO LOSS (EVEN IF DAMAGED),1908230063758,0 BLOCK NW 33RD ST,Miami Police,8-23-2019 2:14 PM
THEFT/LARCENY,PD190823302512,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-23-2019 2:14 PM
GRAND THEFT,1908230063747,1200 BLOCK NW 3RD AV,Miami Police,8-23-2019 2:13 PM
CRIMINAL MISCHIEF / VANDALISM,1908230063749,2300 BLOCK SW 18TH ST,Miami Police,8-23-2019 2:00 PM
SIMPLE BATTERY,1908230063755,3000 BLOCK NW 2ND AVE,Miami Police,8-23-2019 1:49 PM
THEFT - FROM BUILDING,1908230063753,500 BLOCK NW 27TH ST,Miami Police,8-23-2019 1:45 PM
THEFT/LARCENY,PD190823303154,3800 BLOCK NW 25TH ST,Miami-Dade Police,8-23-2019 1:30 PM
ASSAULT,PD190823302500,1300 BLOCK NW 13TH ST,Miami-Dade Police,8-23-2019 11:59 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908190062557,1800 BLOCK NW 2 CT,Miami Police,8-23-2019 11:15 AM
BURGLARY,PD190823302586,1700 BLOCK NW 65TH ST,Miami-Dade Police,8-23-2019 11:00 AM
AUTO THEFT,1908230063715,300 BLOCK NE 57TH ST,Miami Police,8-23-2019 10:51 AM
AUTO THEFT,1908230063715,300 BLOCK NE 57TH ST,Miami Police,8-23-2019 10:51 AM
BATTERY / SIMPLE,1908230063712,5500 BLOCK NW 6TH PL,Miami Police,8-23-2019 10:46 AM
CRIMINAL MISCHIEF / VANDALISM,1908230063713,NE 1ST AV / NE 2ND ST,Miami Police,8-23-2019 10:45 AM
CRIMINAL MISCHIEF / VANDALISM,1908230063710,1600 BLOCK BISCAYNE BLVD,Miami Police,8-23-2019 10:05 AM
BURGLARY - OTHER STRUCTURE,1908230063701,SW 22ND AV / SW 8TH ST,Miami Police,8-23-2019 9:49 AM
THEFT - FROM BUILDING,1908230063702,NW 1ST AV / NW 5TH ST,Miami Police,8-23-2019 9:45 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908230063696,2600 BLOCK NW 10TH AV,Miami Police,8-23-2019 9:38 AM
ASSAULT,PD190823302161,2100 BLOCK NW 41ST ST,Miami-Dade Police,8-23-2019 9:34 AM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1908230063690,0 BLOCK NW 2ND AV,Miami Police,8-23-2019 9:25 AM
THEFT - FROM MOTOR VEHICLE,1908230063694,900 BLOCK SW 5TH ST,Miami Police,8-23-2019 9:12 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908230063684,200 BLOCK NE 54TH ST,Miami Police,8-23-2019 8:47 AM
BURGLARY - RESIDENCE,1908230063681,1400 BLOCK NW 27TH ST,Miami Police,8-23-2019 8:22 AM
BURGLARY - RESIDENCE,1908230063679,500 BLOCK NW 34TH ST,Miami Police,8-23-2019 7:59 AM
BURGLARY - RESIDENCE,1908230063679,500 BLOCK NW 34TH ST,Miami Police,8-23-2019 7:59 AM
CRIMINAL MISCHIEF / VANDALISM,1908230063678,300 BLOCK BEACOM BLVD,Miami Police,8-23-2019 7:51 AM
ASSAULT,PD190823302055,3500 BLOCK NW 52ND ST,Miami-Dade Police,8-23-2019 7:50 AM
ASSAULT,PD190823302016,7700 BLOCK NW 14TH PL,Miami-Dade Police,8-23-2019 7:13 AM
RETAIL THEFT,1908230063672,500 BLOCK NE 79TH ST,Miami Police,8-23-2019 6:12 AM
THEFT - OF MOTOR VEHICLE PARTS,1908230063671,300 BLOCK NW 7TH AV,Miami Police,8-23-2019 5:40 AM
SIMPLE BATTERY,1908230063668,6400 BLOCK NW 2ND AV,Miami Police,8-23-2019 5:01 AM
ROBBERY BY SUDDEN SNATCH - NO FORCE,1908230063665,200 BLOCK NW 2ND AV,Miami Police,8-23-2019 4:31 AM
SIMPLE ASSAULT,1908230063664,0 BLOCK SE 9TH ST,Miami Police,8-23-2019 3:47 AM
SIMPLE BATTERY,1908230063659,NW 7TH AV / NW 12TH ST,Miami Police,8-23-2019 3:24 AM
VANDALISM,PD190823301917,JMH MAIN,Miami-Dade Police,8-23-2019 3:00 AM
THEFT - OF MOTOR VEHICLE PARTS,1908230063663,600 BLOCK SW 1ST ST,Miami Police,8-23-2019 2:49 AM
CRIMINAL MISCHIEF / VANDALISM,1908230063647,S MIAMI AV / SW 15TH RD,Miami Police,8-23-2019 2:05 AM
BURGLARY,PD190823302956,3800 BLOCK NW 25TH ST,Miami-Dade Police,8-23-2019 2:00 AM
ASSAULT,PD190823301872,1000 BLOCK NW 75TH ST,Miami-Dade Police,8-23-2019 1:18 AM
BURGLARY/CONVEYANCE: NO LOSS (EVEN IF DAMAGED),1908230063643,NE 16TH ST / NE MIAMI CT,Miami Police,8-23-2019 12:36 AM
SIMPLE BATTERY,1908230063642,600 BLOCK NW 24TH AV,Miami Police,8-23-2019 12:23 AM
OFFERING FOR OR ENGAGING IN PROSTITUTION,1908230063638,SW 44TH AV / SW 7TH ST,Miami Police,8-23-2019 12:13 AM
OFFERING FOR OR ENGAGING IN PROSTITUTION,1908220063636,SW 44TH CT / SW 7TH ST,Miami Police,8-22-2019 11:55 PM
THEFT/LARCENY,PD190823301841,1900 BLOCK NW 70TH ST,Miami-Dade Police,8-22-2019 11:47 PM
THEFT/LARCENY,PD190822301801,5300 BLOCK NW 27TH AVE,Miami-Dade Police,8-22-2019 11:26 PM
OFFERING FOR OR ENGAGING IN PROSTITUTION,1908220063633,SW 44TH AV / SW 8TH ST,Miami Police,8-22-2019 11:25 PM
ROBBERY,PD190824303336,8700 BLOCK NW 27TH AVE,Miami-Dade Police,8-22-2019 11:00 PM
CRIMINAL MISCHIEF / VANDALISM,1908220063628,900 BLOCK W FLAGLER ST,Miami Police,8-22-2019 10:46 PM
SIMPLE BATTERY,1908220063635,700 BLOCK NW 53RD ST,Miami Police,8-22-2019 10:40 PM
THEFT OF BICYCLE,1908220063624,400 BLOCK BISCAYNE BLVD,Miami Police,8-22-2019 10:25 PM
THEFT - ALL OTHER,1908220063613,4800 BLOCK BISCAYNE BLVD,Miami Police,8-22-2019 9:32 PM
SIMPLE BATTERY,1908220063607,900 BLOCK NW 64TH ST,Miami Police,8-22-2019 8:58 PM
CARRYING CONCEALED FIREARM,1908220063603,700 BLOCK NW 70TH ST,Miami Police,8-22-2019 8:56 PM
THEFT - FROM MOTOR VEHICLE,1908220063606,300 BLOCK NW 49TH ST,Miami Police,8-22-2019 8:52 PM
BURGLARY - RESIDENCE,1908220063599,500 BLOCK NE 79TH ST,Miami Police,8-22-2019 8:28 PM
BATTERY / SIMPLE,1908220063600,1100 BLOCK NW 24TH ST,Miami Police,8-22-2019 8:19 PM
BURGLARY - RESIDENCE,1908220063595,1400 BLOCK NW 25TH AV,Miami Police,8-22-2019 8:10 PM
CRIMINAL MISCHIEF / VANDALISM,1908220063596,SW 8TH AV / SW 5TH ST,Miami Police,8-22-2019 8:10 PM
THEFT - FROM MOTOR VEHICLE,1908220063593,BISCAYNE BLVD / NE 15TH ST,Miami Police,8-22-2019 8:03 PM
ASSAULT / SIMPLE,1908220063585,2000 BLOCK NW FLAGLER TER,Miami Police,8-22-2019 7:43 PM
SIMPLE BATTERY,1908220063590,700 BLOCK NW 31ST ST,Miami Police,8-22-2019 7:35 PM
THEFT - ALL OTHER,1908220063586,3100 BLOCK NW 3RD ST,Miami Police,8-22-2019 7:20 PM
THEFT/LARCENY,PD190823302538,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-22-2019 7:02 PM
BATTERY / SIMPLE,1908220063584,1400 BLOCK BRICKELL AV,Miami Police,8-22-2019 7:01 PM
VEHICLE BREAK-IN/THEFT,PD190826305833,2100 BLOCK NW 83RD ST,Miami-Dade Police,8-22-2019 7:00 PM
THEFT/LARCENY,PD190823302483,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-22-2019 6:46 PM
RETAIL THEFT OVER $300,1908220063579,3000 BLOCK SW 8TH ST,Miami Police,8-22-2019 6:44 PM
FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1908220063561,2400 BLOCK NW 7TH CT,Miami Police,8-22-2019 6:16 PM
BURGLARY,PD190823302547,3500 BLOCK NW 60TH ST,Miami-Dade Police,8-22-2019 6:15 PM
RETAIL THEFT,1908220063559,900 BLOCK SW 8TH ST,Miami Police,8-22-2019 6:01 PM
THEFT/LARCENY,PD190823302272,3100 BLOCK NW 54TH ST,Miami-Dade Police,8-22-2019 6:00 PM
BATTERY / SIMPLE,1908220063564,300 BLOCK NE 54TH ST,Miami Police,8-22-2019 5:59 PM
CRIMINAL MISCHIEF / VANDALISM,1908220063550,3200 BLOCK NW 18TH ST,Miami Police,8-22-2019 5:32 PM
THEFT - ALL OTHER,1908220063546,7900 BLOCK N MIAMI AV,Miami Police,8-22-2019 5:31 PM
THEFT - ALL OTHER,1908220063539,1500 BLOCK W FLAGLER ST,Miami Police,8-22-2019 5:17 PM
ASSAULT,PD190822301415,6300 BLOCK NW 24TH PL,Miami-Dade Police,8-22-2019 5:11 PM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1908220063537,900 BLOCK NE 78TH ST,Miami Police,8-22-2019 5:08 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908220063540,2600 BLOCK NW 25TH AV,Miami Police,8-22-2019 4:51 PM
THEFT/LARCENY,PD190823302002,3000 BLOCK NW 29TH ST,Miami-Dade Police,8-22-2019 4:30 PM
THEFT/LARCENY,PD190822301346,2000 BLOCK NW 84TH ST,Miami-Dade Police,8-22-2019 4:11 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908220063520,2500 BLOCK SW 22ND ST,Miami Police,8-22-2019 4:03 PM
RETAIL THEFT,1908220063510,2200 BLOCK SW 8TH ST,Miami Police,8-22-2019 3:47 PM
THEFT/LARCENY,PD190822301339,2200 BLOCK NW 52ND ST,Miami-Dade Police,8-22-2019 3:30 PM
CRIMINAL MISCHIEF ($200 OR LESS),1908220063517,3200 BLOCK NW 13TH LN,Miami Police,8-22-2019 3:19 PM
PETIT THEFT,1908220063488,400 BLOCK NE 31ST ST,Miami Police,8-22-2019 3:07 PM
BURGLARY,PD190826306025,7000 BLOCK NW 27TH AVE,Miami-Dade Police,8-22-2019 3:00 PM
CRIMINAL MISCHIEF / VANDALISM,1908220063499,200 BLOCK SW 5TH AV,Miami Police,8-22-2019 2:57 PM
FRAUDULENT USE OF CREDIT CARDS / MORE THAN 2 TIMES IN 6 MOS OR $100 OR MORE,1908220063491,1600 BLOCK W FLAGLER ST,Miami Police,8-22-2019 2:54 PM
RETAIL THEFT,1908220063490,1600 BLOCK NW 20TH ST,Miami Police,8-22-2019 2:53 PM
DRUGS/ALCOHOL VIOLATIONS,PD190822301244,NW 17TH AVE & NW 76TH ST,Miami-Dade Police,8-22-2019 2:45 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908220063495,2000 BLOCK NW 27TH AV,Miami Police,8-22-2019 2:40 PM
ASSAULT,PD190822301201,1300 BLOCK NW 13TH ST,Miami-Dade Police,8-22-2019 2:23 PM
FRAUDULENT USE OF CREDIT CARDS / MORE THAN 2 TIMES IN 6 MOS OR $100 OR MORE,1908220063474,500 BLOCK NW 7TH ST,Miami Police,8-22-2019 2:06 PM
VEHICLE BREAK-IN/THEFT,PD190822301413,3100 BLOCK NW 62ND ST,Miami-Dade Police,8-22-2019 2:00 PM
FRAUD,PD190822301137,4200 BLOCK NW 21ST ST,Miami-Dade Police,8-22-2019 1:40 PM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1908220063465,1100 BLOCK BISCAYNE BLVD,Miami Police,8-22-2019 1:32 PM
THEFT/LARCENY,PD190822301809,3700 BLOCK NW 21ST ST,Miami-Dade Police,8-22-2019 1:15 PM
ASSAULT,PD190822301238,1500 BLOCK NW 79TH ST,Miami-Dade Police,8-22-2019 1:14 PM
PETIT THEFT,1908220063461,1000 BLOCK NW 38TH ST,Miami Police,8-22-2019 1:02 PM
THEFT/LARCENY,PD190823302640,7200 BLOCK NW 19TH ST,Miami-Dade Police,8-22-2019 1:00 PM
RETAIL THEFT,1908220063480,3400 BLOCK N MIAMI AV,Miami Police,8-22-2019 12:36 PM
CRIMINAL MISCHIEF / VANDALISM,1908220063481,7000 BLOCK NE 2ND AV,Miami Police,8-22-2019 12:23 PM
THEFT - ALL OTHER,1908220063441,200 BLOCK NW 15TH ST,Miami Police,8-22-2019 12:03 PM
OVERDUE RENTAL,1908220063450,2400 BLOCK NW 36TH ST,Miami Police,8-22-2019 12:01 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908220063452,NW 13TH AV / NW 12TH ST,Miami Police,8-22-2019 11:55 AM
THEFT - FROM MOTOR VEHICLE,1908220063438,0 BLOCK NE 14TH ST,Miami Police,8-22-2019 11:53 AM
DRUGS/ALCOHOL VIOLATIONS,PD190822301003,NW 27TH AVE & NW 79TH ST,Miami-Dade Police,8-22-2019 11:50 AM
PETIT THEFT,1908220063446,900 BLOCK SW 8TH ST,Miami Police,8-22-2019 11:49 AM
THEFT - OF MOTOR VEHICLE PARTS,1908220063453,200 BLOCK SW 57TH AV,Miami Police,8-22-2019 11:49 AM
FRAUD BY PERS AUTH. TO PROVIDE GOODS/SERVICES-MISREPRESENTATION $300 IN 6 MOS,1908220063435,2700 BLOCK NW 16TH TER,Miami Police,8-22-2019 11:45 AM
THEFT - ALL OTHER,1908220063442,4800 BLOCK W FLAGLER ST,Miami Police,8-22-2019 11:43 AM
RETAIL THEFT,1908220063458,100 BLOCK BISCAYNE BLVD,Miami Police,8-22-2019 11:36 AM
THEFT/LARCENY,PD190823302046,100 BLOCK NW 1ST ST,Miami-Dade Police,8-22-2019 11:35 AM
